company_id,Recency,Frequency,Monetary
0,480,1,2439.5251936661557
1,605,1,623.2873967853697
2,535,1,1787.3599885772203
3,460,1,9238.590624338383
4,329,1,7125.809962221234
8,401,1,9245.863860338863
9,457,1,6484.914025761957
12,293,1,1777.6602302012982
13,643,1,843.6591234343299
14,441,1,378.3320622985156
15,375,1,4379.789406661641
16,410,1,9129.111493025895
18,360,1,8440.600654254877
21,565,1,5864.515366873524
23,582,1,4094.103768678671
24,564,1,8146.089847310821
25,338,1,1570.1563808329477
27,459,1,414.2917808363515
28,613,1,2159.8377073011775
29,565,1,9098.488323943711
30,478,1,6438.407689124433
31,564,1,5083.445716736888
32,315,1,9382.560089297187
33,487,1,5921.952027711023
35,627,1,9986.875054124428
36,319,1,2049.733822563883
37,580,1,7539.264563780207
38,387,1,607.6081561973876
39,537,1,9442.818801452946
40,409,1,778.0180087723174
42,455,1,9964.81541252537
43,317,1,7444.543973976047
44,314,1,6362.697034575831
45,553,1,9002.16050237338
46,475,1,5984.689883356449
47,409,1,9038.681485815074
49,367,1,2939.270233390141
51,505,1,3082.899468901251
52,505,1,5101.445998604074
53,364,1,2119.2219680624275
54,387,1,6860.741610249752
56,467,1,8137.821722354496
57,525,1,4259.278389135407
58,620,1,8408.080684130582
59,621,1,4152.100473157499
60,450,1,7910.426550046946
61,408,1,3114.365295180566
62,501,1,6202.223133849986
63,489,1,9856.355461621557
64,469,1,6317.437410146778
65,624,1,9683.134774670636
66,362,1,8843.672992294498
67,524,1,4444.363364044946
68,524,1,4760.051373656756
69,599,1,8752.714940364036
70,614,1,4438.887952657204
71,408,1,9113.691949244558
72,379,1,2251.2468017297833
73,317,1,8265.783496224762
74,547,1,7426.729843306915
77,610,1,2918.105213667837
79,621,1,1655.2876674968286
81,395,1,6739.372258931471
83,331,1,3603.14926448468
86,595,1,5182.268809796001
87,361,1,5034.105351230368
88,294,1,1950.6448040985733
90,533,1,2834.236137725168
92,385,1,7400.8539412235605
94,570,1,4119.912939624595
95,561,1,8010.15231377616
96,553,1,7699.16821742004
97,599,1,6099.482257572436
100,531,1,6439.899356602161
103,568,1,2219.2156589312763
104,449,1,8764.342927627546
105,328,1,7885.4185982804
106,390,1,5369.385031998349
107,605,1,2847.3181134082156
108,525,1,3500.3806546926608
109,521,1,5568.27993681105
111,296,1,2006.4705739699616
113,472,1,1833.1429206634327
114,318,1,2399.9715462655718
115,509,1,1020.2064173212486
116,504,1,5079.414576122072
117,425,1,7336.252584482573
119,373,1,4629.0006112032415
121,445,1,8219.149549757556
122,311,1,7538.748908699755
123,604,1,5910.636565082933
124,347,1,8731.153867625686
125,583,1,3607.5488982669576
126,483,1,861.3384236905858
127,489,1,896.4131826942821
129,557,1,3289.5199477087044
131,455,1,2214.232755879114
132,558,1,4252.111272219605
133,396,1,9882.198239599724
134,474,1,6166.947232447887
135,360,1,5273.572749473882
136,348,1,3115.5022439910713
137,303,1,8602.90449394013
138,554,1,8065.896833316363
139,610,1,2852.8744774194474
140,451,1,3271.517874112205
141,652,1,8199.639586990132
142,609,1,9451.786650285725
143,629,1,2029.1730105712695
144,465,1,4622.608085212467
145,522,1,3306.251286342474
146,554,1,5460.060190190728
148,590,1,6274.152547255322
149,430,1,573.1030778661868
154,529,1,8201.12723203075
157,570,1,8464.077413967956
158,425,1,8409.831582540102
161,504,1,1207.935274967142
162,443,1,9202.456445366495
163,602,1,111.00616300018241
164,382,1,5013.128964713788
166,611,1,6679.34899187652
167,594,1,5073.804451612362
168,459,1,5841.658054678746
169,616,1,4754.20267445618
170,386,1,9178.183182684452
171,566,1,4714.591020844043
172,609,1,4551.619592393654
173,292,1,2144.828065947566
174,641,1,2965.349844958039
175,394,1,6120.855105072224
176,345,1,130.48352948382995
177,572,1,9202.259714412705
178,620,1,6905.56370485992
180,470,1,404.5121612035752
182,524,1,1527.091622801619
183,358,1,8784.48480648629
184,377,1,2926.5810382884215
185,478,1,7804.207728809698
186,610,1,5533.783648355218
189,468,1,4309.423354629259
190,575,1,4361.752811085918
191,366,1,5215.828578928438
192,372,1,9176.945366208358
196,527,1,8216.266498159253
197,394,1,9817.049669042524
199,649,1,1410.8155060048746
200,558,1,7339.419611235487
201,426,1,8710.102882573261
202,289,1,9662.69815914551
203,383,1,9641.180880187845
204,356,1,1133.0374257834922
206,324,1,7859.451293369938
207,633,1,4842.422591406331
208,557,1,6294.984223231693
209,324,1,9109.838219635505
210,404,1,2778.6255096791656
211,472,1,5317.337215872768
213,329,1,2362.7408689760596
215,335,1,1645.0223259214226
216,382,1,3338.512315399068
217,300,1,211.2903714512937
218,392,1,3577.2956187860527
219,415,1,815.9269159853724
220,513,1,2654.3292380232465
223,566,1,6044.997407013817
224,543,1,6827.318062203588
225,321,1,1889.3685469166153
227,468,1,5564.687378691836
229,636,1,2608.9402662591365
230,500,1,7812.170213776863
231,503,1,7577.666604507185
234,542,1,1085.1116428628702
235,627,1,4352.996587896437
237,535,1,1633.2926610644233
238,569,1,7172.634482023823
239,491,1,7329.709517453098
240,292,1,7078.103401835793
241,424,1,7446.910271595249
242,401,1,248.21534462673762
244,531,1,1070.5197931423618
245,326,1,6751.855839206476
248,365,1,7732.0399186267
250,639,1,8386.649517095813
251,325,1,9184.399610296092
252,468,1,9595.511446772614
253,500,1,4662.453598509503
254,573,1,4611.148767099677
255,611,1,3299.36115148079
257,378,1,6065.901632250683
258,612,1,6896.125949726076
259,445,1,2726.3412099715756
260,385,1,5074.0957702745
261,486,1,878.2112736548305
264,541,1,789.1650105032164
265,303,1,2822.374291592887
267,523,1,9345.051798016304
271,429,1,3866.4974966689283
272,352,1,8404.768550900562
275,436,1,1849.7568655391547
276,628,1,2360.9001717506176
277,585,1,6228.842861802944
